model_id,macrocycle_number,phase,rep_scheme,intensity_pct
2.1,15,intensification,6x3,
2.1,15,accumulation_2,"8,7,6,5,4",
2.1,15,intensification_2,"5,5,3,3,1,1",
2.1,16,accumulation,4x5,
2.1,16,intensification,6x2,
2.1,16,accumulation_2,5x4,
2.1,16,intensification_2,"3,2,1,3,2,1",
2.2,1,accumulation,"12,10,8,12",
2.2,1,intensification,5x7,
2.2,1,accumulation_2,5x10,
2.2,1,intensification_2,6x5,
2.2,2,accumulation,4x9,
2.2,2,intensification,5x5,
2.2,2,accumulation_2,5x8,
2.2,2,intensification_2,"5,5,3,3,2,2",
2.2,3,accumulation,5x10,
2.2,3,intensification,"8,8,6,6,4,4",
2.2,3,accumulation_2,6x9,
2.2,3,intensification_2,7x4,
2.2,4,accumulation,4x8,
2.2,4,intensification,5x4,
2.2,4,accumulation_2,5x7,
2.2,4,intensification_2,"5,3,3,2,2,1",
2.2,5,accumulation,4x9,
2.2,5,intensification,5x5,
2.2,5,accumulation_2,"10,10,6,6,6",
2.2,5,intensification_2,6x3,
2.2,6,accumulation,5x7,
2.2,6,intensification,"5,5,3,3,2,2",
2.2,6,accumulation_2,6x6,
2.2,6,intensification_2,"5,3,1,5,3,1",
2.2,7,accumulation,5x8,
2.2,7,intensification,"5,5,5,3,3,3",
2.2,7,accumulation_2,6x7,
2.2,7,intensification_2,7x3,
2.2,8,accumulation,"5x(3/1/1/1)",
2.2,8,intensification,7x2,
2.2,8,accumulation_2,5x6,
2.2,8,intensification_2,"5,3,3,2,2,1",
2.2,9,accumulation,5x10,
2.2,9,intensification,6x6,
2.2,9,accumulation_2,6x9,
2.2,9,intensification_2,"6,6,4,4,2,2",
2.2,10,accumulation,5x8,
2.2,10,intensification,6x4,
2.2,10,accumulation_2,"5,5,7,7,9,9",
2.2,10,intensification_2,7x3,
2.2,11,accumulation,6x9,
2.2,11,intensification,7x5,
2.2,11,accumulation_2,7x8,
2.2,11,intensification_2,7x4,
2.2,12,accumulation,5x7,
2.2,12,intensification,7x3,
2.2,12,accumulation_2,"8,8,6,6,4,4",
2.2,12,intensification_2,"5,3,1,5,3,1",
2.2,13,accumulation,4x8,
2.2,13,intensification,5x4,
2.2,13,accumulation_2,"7,7,5,5,12",
2.2,13,intensification_2,"5,5,5,3,3,3",
2.2,14,accumulation,5x6,
2.2,14,intensification,"5,3,3,2,2,1",
2.2,14,accumulation_2,"7,5,3,3,5,7",
2.2,14,intensification_2,7x2,
2.2,15,accumulation,5x7,
2.2,15,intensification,8x3,
2.2,15,accumulation_2,"4,4,6,6,8,8",
2.2,15,intensification_2,"5,5,3,3,1,1",
2.2,16,accumulation,5x5,
2.2,16,intensification,7x2,
2.2,16,accumulation_2,7x4,
2.2,16,intensification_2,"3,2,1,3,2,1",
2.3,1,accumulation,"15,12,10,10",
2.3,1,intensification,6x7,
2.3,1,accumulation_2,"12,10,8,8,15",
2.3,1,intensification_2,7x5,
2.3,2,accumulation,5x9,
2.3,2,intensification,"7,7,5,5,3,3",
2.3,2,accumulation_2,6x8,
2.3,2,intensification_2,8x3,
2.3,3,accumulation,"12,12,10,10,8",
2.3,3,intensification,7x6,
2.3,3,accumulation_2,6x9,
2.3,3,intensification_2,10x4,
2.3,4,accumulation,5x8,
2.3,4,intensification,7x4,
2.3,4,accumulation_2,6x7,
2.3,4,intensification_2,"3,3,3,3,2,2,2,2",
2.3,5,accumulation,5x9,
2.3,5,intensification,6x5,
2.3,5,accumulation_2,"10,8,6,6,8,10",
2.3,5,intensification_2,8x3,
2.3,6,accumulation,"9,7,5,5,7,9",
2.3,6,intensification,8x3,
2.3,6,accumulation_2,7x6,
2.3,6,intensification_2,"5,5,3,3,2,2,1,1",
2.3,7,accumulation,"6,6,8,8,10,10",
2.3,7,intensification,8x4,
2.3,7,accumulation_2,7x7,
2.3,7,intensification_2,10x3,
2.3,8,accumulation,"8,8,6,6,4,4",
2.3,8,intensification,"3,3,3,3,2,2,2,2",
2.3,8,accumulation_2,8x5,
2.3,8,intensification_2,10x2,
2.3,9,accumulation,"12,10,8,6,15",
2.3,9,intensification,7x6,
2.3,9,accumulation_2,6x9,
2.3,9,intensification_2,10x4,
2.3,10,accumulation,"10,8,6,6,8,10",
2.3,10,intensification,8x4,
2.3,10,accumulation_2,7x7,
2.3,10,intensification_2,10x3,
2.3,11,accumulation,6x9,
2.3,11,intensification,8x5,
2.3,11,accumulation_2,7x8,
2.3,11,intensification_2,10x4,
2.3,12,accumulation,"9,9,7,7,5,5",
2.3,12,intensification,10x3,
2.3,12,accumulation_2,7x6,
2.3,12,intensification_2,"3,3,3,3,3,2,2,2,2,2",
2.3,13,accumulation,"10,10,6,6,6",
2.3,13,intensification,7x4,
2.3,13,accumulation_2,6x7,
2.3,13,intensification_2,"5,5,3,2,2,1,1",
2.3,14,accumulation,"8,8,6,6,4,4",
2.3,14,intensification,"3,3,3,3,2,2,2,2",
2.3,14,accumulation_2,8x5,
2.3,14,intensification_2,10x2,
2.3,15,accumulation,6x7,
2.3,15,intensification,10x3,
2.3,15,accumulation_2,7x6,
2.3,15,intensification_2,"5,5,3,3,3,1,1,1",
2.3,16,accumulation,6x5,
2.3,16,intensification,10x2,
2.3,16,accumulation_2,8x4,
2.3,16,intensification_2,"3,2,1,3,2,1,3,2,1",
3.1,1,accumulation,"12,10,8,8",
3.1,1,intensification,4x6,
3.1,1,accumulation_2,5x9,
3.1,1,intensification_2,5x4,
3.1,2,accumulation,4x8,
3.1,2,intensification,5x4,
3.1,2,accumulation_2,5x7,
3.1,2,intensification_2,"5,5,3,3,1,1",
3.1,3,accumulation,"10,10,8,8,8",
3.1,3,intensification,5x5,
3.1,3,accumulation_2,6x8,
3.1,3,intensification_2,7x3,
3.1,4,accumulation,4x7,
3.1,4,intensification,5x4,
3.1,4,accumulation_2,5x6,
3.1,4,intensification_2,"5,3,3,2,2,1",
3.1,5,accumulation,4x8,
3.1,5,intensification,5x4,
3.1,5,accumulation_2,5x7,
3.1,5,intensification_2,"5,4,3,2,1",
3.1,6,accumulation,4x6,
3.1,6,intensification,"5,5,3,3,1,1",
3.1,6,accumulation_2,5x5,
3.1,6,intensification_2,7x2,
3.1,7,accumulation,5x7,
3.1,7,intensification,7x3,
3.1,7,accumulation_2,"8,8,6,6,4,4",
3.1,7,intensification_2,"5,3,1,5,3,1",
3.1,8,accumulation,4x5,
3.1,8,intensification,"3,3,3,2,2,2",
3.1,8,accumulation_2,4x6,
3.1,8,intensification_2,6x2,
3.1,9,accumulation,"10,10,8,8,8",
3.1,9,intensification,5x5,
3.1,9,accumulation_2,6x8,
3.1,9,intensification_2,7x3,
3.1,10,accumulation,5x7,
3.1,10,intensification,7x3,
3.1,10,accumulation_2,"8,8,6,6,4,4",
3.1,10,intensification_2,"5,3,1,5,3,1",
3.1,11,accumulation,6x8,
3.1,11,intensification,7x4,
3.1,11,accumulation_2,7x7,
3.1,11,intensification_2,7x3,
3.1,12,accumulation,"8,7,6,5,4",
3.1,12,intensification,7x3,
3.1,12,accumulation_2,"7,7,5,5,3,3",
3.1,12,intensification_2,"3,3,3,2,2,2",
3.1,13,accumulation,4x7,
3.1,13,intensification,6x3,
3.1,13,accumulation_2,"4,5,6,7,8",
3.1,13,intensification_2,7x2,
3.1,14,accumulation,4x5,
3.1,14,intensification,7x2,
3.1,14,accumulation_2,5x4,
3.1,14,intensification_2,"3,3,2,2,1,1",
3.1,15,accumulation,5x6,
3.1,15,intensification,"5,5,3,3,1,1",
3.1,15,accumulation_2,6x5,
3.1,15,intensification_2,8x2,
3.1,16,accumulation,4x4,
3.1,16,intensification,6x2,
3.1,16,accumulation_2,6x3,
3.1,16,intensification_2,"3,2,1,3,2,1",
3.2,1,accumulation,4x10,
3.2,1,intensification,"8,7,6,5,4",
3.2,1,accumulation_2,5x9,
3.2,1,intensification_2,7x4,
3.2,2,accumulation,5x8,
3.2,2,intensification,6x4,
3.2,2,accumulation_2,6x7,
3.2,2,intensification_2,"5,5,3,3,1,1",
3.2,3,accumulation,5x9,
3.2,3,intensification,7x5,
3.2,3,accumulation_2,"10,8,6,6,8,10",
3.2,3,intensification_2,9x3,
3.2,4,accumulation,5x7,
3.2,4,intensification,"6,6,4,4,2,2",
3.2,4,accumulation_2,6x6,
3.2,4,intensification_2,"5,3,1,5,3,1",
3.2,5,accumulation,5x8,
3.2,5,intensification,6x4,
3.2,5,accumulation_2,6x7,
3.2,5,intensification_2,"5,3,3,2,2,1",
3.2,6,accumulation,5x6,
3.2,6,intensification,"3,3,3,3,2,2,2,2",
3.2,6,accumulation_2,"7,7,5,5,3,3",
3.2,6,intensification_2,8x2,
3.2,7,accumulation,"9,9,7,7,5,5",
3.2,7,intensification,8x3,
3.2,7,accumulation_2,7x6,
3.2,7,intensification_2,"5,3,1,5,3,1",
3.2,8,accumulation,4x5,
3.2,8,intensification,"3,3,3,2,2,2",
3.2,8,accumulation_2,4x6,
3.2,8,intensification_2,6x2,
3.2,9,accumulation,"8,8,8,12,12",
3.2,9,intensification,6x5,
3.2,9,accumulation_2,6x8,
3.2,9,intensification_2,8x3,
3.2,10,accumulation,"9,7,5,5,7,9",
3.2,10,intensification,9x3,
3.2,10,accumulation_2,7x6,
3.2,10,intensification_2,"3,3,3,3,2,2,2,2",
3.2,11,accumulation,6x8,
3.2,11,intensification,8x4,
3.2,11,accumulation_2,7x7,
3.2,11,intensification_2,10x3,
3.2,12,accumulation,"8,8,6,6,4,4",
3.2,12,intensification,8x3,
3.2,12,accumulation_2,8x5,
3.2,12,intensification_2,"5,3,1,5,3,1",
3.2,13,accumulation,5x7,
3.2,13,intensification,7x3,
3.2,13,accumulation_2,"8,6,4,4,6,8",
3.2,13,intensification_2,8x2,
